url,path,title,status,source_type,source_count,source_urls,providers,note,http_status,error
https://www.camaramar.com/webcam/galicia_pontevedra_puerto-de-cangas,/webcam/galicia_pontevedra_puerto-de-cangas,Webcam Puerto de Cangas,live,hls,1,https://wow.camaramar.com/VODgrabaciones/meteo_Cangas.mp4/playlist.m3u8,wow.camaramar.com,source_extracted,200,
https://www.camaramar.com/webcam/illes-balears_portandratx,/webcam/illes-balears_portandratx,Webcam Port Andratx,live,hls,1,https://wow.camaramar.com/camaramar/66_andratx.stream/playlist.m3u8,wow.camaramar.com,source_extracted,200,
https://www.camaramar.com/webcam/la-playa-de-lalbir,/webcam/la-playa-de-lalbir,Webcam La Playa de l'Albir,live,dash,1,https://streaming.comunitatvalenciana.com/webcam/Alfaselpi/manifest.mpd,streaming.comunitatvalenciana.com,source_extracted,200,
https://www.camaramar.com/webcam/lomas-de-polo-pinomar-la-mata,/webcam/lomas-de-polo-pinomar-la-mata,"Webcam La Mata, Lomas de Polo-Pinomar",live,embed,1,https://www.youtube.com/embed/j2oP4uecYgg?autoplay=1&mute=1&iv_load_policy=3&rel=0&showinfo=0&autohide=1&color=white,www.youtube.com,source_extracted,200,
https://www.camaramar.com/webcam/mutriku-alkolea-arbe,/webcam/mutriku-alkolea-arbe,"Webcam Alkolea / Arbe, Mutriku",live,hls,1,https://wow.camaramar.com/directo/alkolea.stream/playlist.m3u8,wow.camaramar.com,source_extracted,200,
https://www.camaramar.com/webcam/penedo-do-galo,/webcam/penedo-do-galo,Webcam Penedo do Galo,live,hls,1,https://wow.camaramar.com/VODgrabaciones/meteo_Penedodogalo.mp4/playlist.m3u8,wow.camaramar.com,source_extracted,200,
https://www.camaramar.com/webcam/playa-de-benicarlo,/webcam/playa-de-benicarlo,Webcam Playa de Benicarló,live,dash,1,https://streaming.comunitatvalenciana.com/webcam/Benicarlo/manifest.mpd,streaming.comunitatvalenciana.com,source_extracted,200,
https://www.camaramar.com/webcam/playa-de-canet,/webcam/playa-de-canet,Webcam Playa de Canet d'En Berenguer,live,dash,1,https://streaming.comunitatvalenciana.com/webcam/CanetdeBerenguer/manifest.mpd,streaming.comunitatvalenciana.com,source_extracted,200,
https://www.camaramar.com/webcam/playa-de-gandia,/webcam/playa-de-gandia,Webcam Playa de Gandia,live,dash,1,https://streaming.comunitatvalenciana.com/webcam/Gandia/manifest.mpd,streaming.comunitatvalenciana.com,source_extracted,200,
https://www.camaramar.com/webcam/playa-de-la-grava,/webcam/playa-de-la-grava,Webcam Playa de la Grava,live,dash,1,https://streaming.comunitatvalenciana.com/webcam/Xabiapuerto/manifest.mpd,streaming.comunitatvalenciana.com,source_extracted,200,
